age,gender,race,salary,occupation
25,male,Asian,80000,Engineer
30,female,Caucasian,50000,Teacher
40,male,African-American,120000,Doctor
35,female,Hispanic,60000,Other
45,male,Asian,85000,Engineer
28,female,Asian,55000,Teacher
33,male,Caucasian,110000,Doctor
38,female,African-American,62000,Other
50,male,Hispanic,90000,Engineer
22,female,Asian,48000,Teacher
27,male,Caucasian,100000,Doctor
32,female,African-American,63000,Other
41,male,Hispanic,82000,Engineer
26,female,Asian,53000,Teacher
34,male,Caucasian,105000,Doctor
39,female,African-American,65000,Other
48,male,Hispanic,95000,Engineer
29,female,Asian,52000,Teacher
31,male,Caucasian,115000,Doctor
36,female,African-American,64000,Other
42,male,Hispanic,88000,Engineer
24,female,Asian,49000,Teacher
37,male,Caucasian,125000,Doctor
43,female,African-American,66000,Other
47,male,Hispanic,92000,Engineer
21,female,Asian,47000,Teacher
44,male,Caucasian,130000,Doctor
49,female,African-American,67000,Other
23,male,Hispanic,83000,Engineer
46,female,Asian,54000,Teacher
20,male,Caucasian,95000,Doctor
51,female,African-American,68000,Other
54,male,Hispanic,97000,Engineer
19,female,Asian,46000,Teacher
52,male,Caucasian,99000,Doctor
55,female,African-American,69000,Other
18,male,Hispanic,86000,Engineer
53,female,Asian,51000,Teacher
56,male,Caucasian,104000,Doctor
57,female,African-American,70000,Other
17,male,Hispanic,89000,Engineer
58,female,Asian,53000,Teacher
59,male,Caucasian,108000,Doctor
16,female,African-American,71000,Other
60,male,Hispanic,94000,Engineer
15,female,Asian,44000,Teacher
61,male,Caucasian,114000,Doctor
62,female,African-American,72000,Other
14,male,Hispanic,87000,Engineer
63,female,Asian,45000,Teacher
64,male,Caucasian,119000,Doctor
13,female,African-American,73000,Other
65,male,Hispanic,91000,Engineer
12,female,Asian,46000,Teacher
